year,GDP growth (annual %),inflation_rate,unemployment_rate
1970,3.045643,13.449999999999998,4.8
1971,5.658131,34.53333333333333,6.0
1972,1.628417,57.95000000000001,6.6
1973,2.811754,61.55833333333334,5.6
1974,5.533804,24.066666666666666,3.4
1975,-0.0284121,171.25833333333333,2.3
1976,-2.018252,486.59999999999997,4.5
1977,6.9341479999999995,192.02500000000006,2.8
1978,-4.506125,176.60833333333332,2.8
1979,10.222760000000001,161.09999999999997,2.0
1980,1.518784,104.36666666666667,2.3
1981,-5.189789,101.61666666666666,4.5
1982,-0.7356592,158.81666666666666,4.73
1983,4.349093,323.7916666666667,4.17
1984,1.5707389999999999,585.2916666666666,3.54
1985,-5.189024,779.9416666666666,5.3
1986,6.153377,115.89166666666667,4.4
1987,2.704869,125.7,5.3
1988,-1.089933,320.2333333333333,6.0
1989,-7.15695,2297.016666666667,7.3
1990,-2.467214,7029.158333333332,7.06
